id,question,answer
11,"Gli stranieri appartenenti ai paesi dell’Unione europea e non, che siano residenti in Italia o meno possono accedere ai servizi telematici erogati dalla pubblica amministrazione italiana che richiedono identificazione informatica?","Una amministrazione pubblica deve prevedere l’utilizzo di SPID o CIE per l’identificazione e l’accesso ai servizi utilizzabili da cittadini non italiani residenti in Italia. Le pubbliche amministrazioni devono garantire l’identificazione e l’accesso ai servizi da parte di cittadini non italiani, non residenti in Italia e che dispongono di una identità eIDAS. Le pubbliche amministrazioni possono continuare a identificare e garantire l’accesso ai servizi da parte di cittadini non italiani - che non possono disporre di SPID, CIE o identità eIDAS - con sistemi di identificazione e accesso diversi."
12,SPID può essere utilizzato per consentire l’identificazione e l’accesso ai servizi da parte di minori?,Ad oggi SPID può essere richiesto da coloro che abbiano compiuto il 18° anno di età. Sono in corso di emanazione linee guida operative per il rilascio di SPID ai minori e le relative modalità di utilizzo per l’accesso ai servizi online.
13,E’ consentito l’utilizzo di SPID/CIE da parte/nell’interesse di persone fisiche sottoposte a tutela o ad amministrazione di sostegno?,Ad oggi non è stato definito un quadro normativo/regolamentare di riferimento relativo all’utilizzo di SPID/CIE da parte/nell’interesse di persone fisiche sottoposte a tutela o ad amministrazione di sostegno.
14,Chi può richiedere SPID?,"Tutti i cittadini maggiorenni, in possesso di un documento italiano in corso di validità, possono attivare SPID rivolgendosi ad uno dei gestori dell’identità digitale riconosciuti da AgID e scegliendo tra diverse modalità di riconoscimento."
15,"Risiedo all’estero, come posso ottenere SPID?","Devi essere in possesso di un documento di riconoscimento italiano (carta di identità, passaporto, patente) in corso di validità e del tesserino del codice fiscale, di una e-mail e di un numero di cellulare ad uso personale. Sul sito dell’Agenzia per le Entrate puoi verificare la procedura idonea per ottenere il codice fiscale. Infine per attivare SPID puoi rivolgerti ad uno dei  gestori di identità digitale accreditati dall’Agenzia per l’Italia Digitale. Trovi tutte le procedure di attivazione e le informazioni sulle diverse modalità di riconoscimento alla pagina Come attivare SPID. I gestori di identità che consentono il riconoscimento a distanza per chi risiede all'estero sono contrassegnati dall'icona “EU”  o “mondo”."
16,"Sono uno straniero che si trova in Italia, come posso ottenere SPID?","Devi essere in possesso di un documento di riconoscimento italiano (come ad esempio la carta di identità) in corso di validità e del tesserino del codice fiscale, di un'e-mail e di un cellulare ad uso personale. Se sei in possesso di un permesso di soggiorno, puoi richiedere la carta di identità italiana e presentarla durante la fase di richiesta di attivazione di SPID.  Sul sito dell’Agenzia per le Entrate puoi verificare la procedura idonea per ottenere il codice fiscale."
17,Cosa devo fare per ottenere SPID?,"Puoi rivolgerti a uno dei gestori di identità digitale accreditati dall’Agenzia per l’Italia Digitale e reperibili alla pagina Come attivare SPID insieme a tutte le informazioni sulle diverse modalità di riconoscimento attive. Ci sono varie modalità per richiedere SPID: - di persona presso gli uffici dei gestori di identità digitale (identity provider); - via webcam con operatore messo a disposizione dal provider o con un selfie audio-video insieme al versamento di un bonifico bancario (una cifra simbolica utile alla sola verifica dell’identità); - con Carta d'Identità Elettronica (CIE) o passaporto elettronico, identificandoti attraverso le app dei gestori scaricabili dagli store; - con CIE, Carta Nazionale dei Servizi (CNS) - è possibile usare anche la tessera sanitaria - o firma digitale con l’ausilio di un lettore (ad esempio la smart card) e del relativo pin. Esistono modalità di attivazione gratuite o a pagamento che è bene conoscere prima di scegliere il gestore. Una volta ottenuto, l’utilizzo di SPID per il cittadino è gratuito: nessun costo o canone ti verrà richiesto."
18,Posso attivare l’identità digitale per un mio parente?,"SPID è strettamente personale, pertanto per ogni identità SPID intestata a persona diversa bisogna utilizzare un numero di telefono e indirizzo e-mail differenti. Non è necessario che l’indirizzo e-mail e il numero di cellulare siano intestati alla stessa persona richiedente SPID ma devono rappresentare, anche per le verifiche di sicurezza, strumenti di utilizzo personale. Inoltre, esiste la possibilità di richiedere SPID online e di assistere la persona interessata nell’identificazione tramite una delle modalità messe a disposizione dai gestori di identità. Puoi richiedere più di una identità digitale – anche con diversi livelli di sicurezza – rivolgendoti a differenti gestori di identità digitale."
19,Come posso ottenere/conferire una delega attraverso il Sistema di gestione deleghe?,"Al momento, il progetto è in fase di disegno e definizione. Il Decreto Semplificazioni introduce un nuovo Sistema di gestione deleghe che consentirà, in futuro, ad un soggetto  di conferire una delega (delegante) ad un un altro soggetto (delegato) in possesso di identità digitale (SPID o CIE) per l’accesso ai servizi pubblici online. Il sistema consentirà  ad esempio agli anziani che non hanno l’identità digitale, di delegare un familiare all’accesso ai servizi della pubblica amministrazione, come Inps o Agenzia delle entrate, contribuendo a ridurre il divario digitale. La delega potrà essere acquisita online o presso sportelli pubblici e potrà riguardare uno o più servizi pubblici. La soluzione è pensata anche per risolvere una prassi diffusa, che spesso vede le persone impossibilitate ad utilizzare  i servizi digitali comunicare le proprie credenziali di accesso ad un soggetto terzo che le usa al loro posto, con evidenti rischi di sicurezza e tutela della persona.  L’iniziativa è affidata alla responsabilità del Dipartimento per la trasformazione digitale della Presidenza del Consiglio dei ministri. L’Istituto Poligrafico e Zecca dello Stato si occuperà della realizzazione, gestione e manutenzione del Sistema di gestione deleghe."
20,Ci sono differenze fra i soggetti a cui posso richiedere SPID?,"Le credenziali SPID rilasciate da Aruba PEC SpA, In.Te.S.A. SpA, InfoCert SpA, Lepida ScpA, Namirial SpA, Poste Italiane SpA, Register SpA, Sielte SpA e TI Trust Technologies Srl sono uguali. Puoi scegliere liberamente il soggetto che ti permette di completare la procedura di registrazione in maniera per te più semplice: tutte le informazioni sono alla pagina Come scegliere tra i gestori di identità digitale."
21,In futuro potranno esserci altri gestori di identità?,"Sì, qualunque soggetto in possesso dei requisiti previsti dalle norme può fare richiesta di accreditamento ad AgID."
22,"Ho perso le mie credenziali SPID, cosa devo fare per recuperarle?","Non è un problema, è sempre possibile recuperare le credenziali. - Se hai richiesto SPID a Aruba segui la procedura di recupero qui: http://guide.pec.it/spid/recupero-dati/procedure-di-recupero-dati-smarriti.aspx - Se hai richiesto SPID a Infocert segui la procedura di recupero qui:  https://my.infocert.it/selfcare/#/recoveryPin - Se hai richiesto SPID a Namirial segui la procedura di recupero qui:  https://portale.namirialtsp.com/private/user/spid_reset.php - Se hai richiesto SPID a Intesa segui la procedura di recupero qui:  https://spid.intesa.it/area-privata/forgot-password.aspx - Se hai richiesto SPID a Poste segui la procedura di recupero qui:  https://posteid.poste.it/recuperocredenziali.shtml - Se hai richiesto SPID a Register segui la procedura di recupero qui: (username dimenticata) https://spid.register.it/selfcare/recovery/username (password dimenticata) https://spid.register.it/selfcare/recovery/password - Se hai richiesto SPID a Sielte segui la procedura di recupero qui: (password dimenticata) https://myid.sieltecloud.it/profile/recovery/forgotPassword - Se hai richiesto SPID a Tim segui la procedura di recupero qui: (username dimenticata) https://login.id.tim.it/mps/fu.php (password dimenticata) https://login.id.tim.it/mps/fp.php - Se hai richiesto SPID a Lepida segui la procedura di recupero qui:  https://id.lepida.it/idm/app/recupero_credenziali.jsp"
23,Posso annullare la richiesta dell’identità ad un identity provider e sceglierne un altro?,"Sì, in ogni momento puoi annullare la procedura di registrazione avviata con ciascun gestore d’identità senza alcun tipo di obbligo o conseguenza. Per avere indicazioni specifiche sulla procedura da seguire puoi contattare i singoli gestori di identità. In ogni caso, puoi richiedere la tua identità digitale a un altro gestore di identità anche senza aspettare l’annullamento della registrazione precedente."
24,Posso avere più di un’identità digitale?,"Sì, la tua identità digitale può essere certificata da più di un gestore. Puoi richiedere più di una identità digitale – anche con diversi livelli di sicurezza – con l’opportunità di rivolgerti a differenti gestori di identità digitale."
25,Come accedo con SPID ai servizi online?,"L’accesso ai servizi è possibile ogni volta che, su un sito o un’app di servizi, è presente il pulsante “Entra con SPID”. L’accesso ai servizi è sicuro e protetto, anche grazie ad ulteriori verifiche di sicurezza, come ad esempio l’invio di una password temporanea (la cosiddetta OTP - one time password) in fase di autenticazione."
26,Posso effettuare il riconoscimento SPID presso le pubbliche amministrazioni?,"Sì. Diverse amministrazioni stanno abilitando i propri uffici per poter verificare la tua identità personale e consentirti di ottenere SPID. Dopo la verifica riceverai via e-mail un file (denominato pacchetto di attivazione) che potrai usare online per completare il riconoscimento ed ottenere SPID, scegliendo uno tra gli identity provider che hanno aderito a questa modalità. Scopri gli uffici pubblici abilitati (link alla domanda seguente)."
27,Quali sono gli uffici pubblici abilitati al rilascio di SPID?,"Il Responsabile della verifica dell’identità - Registration Authority Office RAO - è una Pubblica Amministrazione che può verificare di persona presso i suoi uffici la tua identità personale, per consentirti di attivare SPID. Scopri le amministrazioni già attive. Gli uffici pubblici abilitati al rilascio di SPID sono sempre di più. Puoi trovare la lista completa alla pagina Le PA per ottenere SPID."
28,Ho effettuato il riconoscimento presso una PA e ho ricevuto una mail con il pacchetto di attivazione. Di che si tratta e cosa deve fare?,"Il pacchetto di attivazione è un file protetto che contiene i dati personali che hai fornito durante il riconoscimento di persona, presso una delle amministrazioni attive e aderenti al modello RAO pubblico. Dovrai fornirlo ad uno dei gestori di identità (identity provider) abilitati, per dimostrare la tua identità, completare il processo di riconoscimento e ottenere SPID."
29,Come posso chiedere assistenza ai gestori di identità SPID?,Tutti i contatti dei gestori di identità SPID sono disponibili alla pagina Ottieni assistenza dagli Identity Provider.
30,"Ho problemi di accesso con SPID, a chi mi rivolgo?","Se riscontri difficoltà di accesso relative al livello di autenticazione o alla tua identità digitale SPID, devi fare riferimento all’assistenza del gestore di identità con cui lo hai attivato. I contatti di assistenza di tutti i gestori di identità sono disponibili alla pagina Ottieni assistenza dagli Identity Provider Se il tuo problema è invece riconducibile al necessario rinnovo della password, ogni gestore mette a disposizione una procedura di recupero credenziali. Se il problema dipende dall’erogazione del servizio e non dall’accesso con SPID (e accedi con SPID ad altri servizi) devi fare riferimento al servizio di assistenza dell’amministrazione che lo eroga."
31,Non ho trovato la risposta ai miei dubbi: a chi devo rivolgermi?,"Se non trovi le risposte che stavi cercando e hai una segnalazione specifica da fare, invia una richiesta al supporto online per SPID."
32,Come posso diventare fornitore di servizi SPID?,"Se vuoi rendere i tuoi servizi online accessibili tramite SPID, con il supporto di AgID, puoi avviare la procedura per diventare un fornitore di servizi. Fai attenzione a quanto descritto nelle due fasi: quella tecnica e quella amministrativa. All’esito positivo della procedura di collaudo dovrai sottoscrivere la convenzione con AgID."
33,Cosa devo fare nella fase tecnica?,"Durante la fase tecnica verifica i requisiti della tua implementazione SPID e del tuo metadata. Quindi: consulta la documentazione SPID (regole tecniche, avvisi, ecc.); implementa l’autenticazione ai servizi con SPID; verifica la correttezza del metadata ed inserisci il pulsante “Entra con SPID” sulle pagine del tuo sito; richiedi il collaudo del metadata."
34,Cosa devo fare nella fase amministrativa?,Durante la fase amministrativa dovrai firmare la convenzione con AgID. Quindi: compila e sottoscrivi con firma elettronica qualificata dal referente amministrativo la convenzione che riceverai da AgID; spedisci la convenzione via PEC a protocollo@pec.agid.gov.it.; quando riceverai la convenzione controfirmata dal Direttore Generale di AgID il tuo SPID sarà in produzione.
35,Quali sono le differenze tra i tre livelli di sicurezza per un fornitore di servizi attraverso SPID?,"L’accesso ai servizi online avviene attraverso la scelta, da parte del fornitore di servizi, di uno dei tre livelli incrementali di sicurezza: il livello 1, con le credenziali SPID dell’utente (nome utente e password); il livello 2, con le credenziali SPID e la generazione di un codice temporaneo di accesso OTP il (one time password) o l’uso di un’ APP fruibile attraverso un dispositivo, come ad esempio uno smartphone; il livello 3, con le credenziali SPID e l’utilizzo di ulteriori soluzioni di sicurezza o di eventuali dispositivi fisici (es. smart card) che vengono erogati dal gestore dell’identità."
36,Vuoi diventare aggregatore di SPID per pubblici servizi?,"I soggetti aggregatori di servizi pubblici sono pubbliche amministrazioni o privati che offrono a soggetti pubblici, loro aggregati, la possibilità di rendere accessibili tramite lo SPID i loro servizi. Una pubblica amministrazione può diventare soggetto aggregato o aggregatore, mentre un’azienda solo aggregatore. La procedura da seguire per diventare soggetto aggregatore e l’elenco dei soggetti aggregatori sono disponibili sul sito istituzionale di AgID alla pagina Soggetti aggregatori."
37,I Gestori di pubblico servizio possono sottoscrivere una convenzione da Fornitore di servizio pubblico con AgID?,"I “Gestori di pubblico servizio”, cioè tutti i soggetti, diversi dalla Pubbliche Amministrazioni, che hanno l’esigenza di erogare direttamente servizi di Pubbliche Amministrazioni on line, possono aderire a SPID, sottoscrivendo una convenzione da Soggetto Aggregatore di servizi pubblici o aggregandosi ad un Soggetto Aggregatore di servizi pubblici. A tal fine, questi devono essere iscritti nell’indice dei domicili digitali delle Pubbliche Amministrazioni e dei gestori di pubblici servizi (IPA) in una delle tipologie residue rispetto a quelle indicate per le Pubbliche Amministrazioni.I “Gestori di pubblico servizio”, cioè tutti i soggetti, diversi dalla Pubbliche Amministrazioni, che hanno l’esigenza di erogare direttamente servizi di Pubbliche Amministrazioni on line, possono aderire a SPID, sottoscrivendo una convenzione da Soggetto Aggregatore di servizi pubblici o aggregandosi ad un Soggetto Aggregatore di servizi pubblici. A tal fine, questi devono essere iscritti nell’indice dei domicili digitali delle Pubbliche Amministrazioni e dei gestori di pubblici servizi (IPA) in una delle tipologie residue rispetto a quelle indicate per le Pubbliche Amministrazioni."
38,Quali sono i servizi degli enti accessibili tramite SPID?,"I servizi accessibili tramite SPID sono indicati alla pagina dedicata. Il sito spid.gov.it è aggiornato in base all’invio dell'elenco dei servizi da parte dei fornitori di servizi e i Soggetti Aggregatori. Le convenzioni SPID prevedono che il fornitore di servizi e i soggetti aggregatori comunichino ad AgID l'elenco aggiornato dei servizi compilando un apposito file “ods”, pubblicato alla pagina delle convenzioni per entrare nella federazione SPID."
39,Non ho trovato la risposta ai miei quesiti: a chi devo rivolgermi?,"Se non trovi le risposte che stavi cercando e hai bisogno di supporto nella fase di adeguamento dei tuoi sistemi a SPID, scrivi all’indirizzo spid.tech@spid.gov.it"
40,E’ possibile utilizzare sistemi diversi da SPID o CIE per l’identificazione e l’accesso ai servizi online da parte di imprese e professionisti?,"Ad oggi le pubbliche amministrazioni non sono obbligate ad escludere l’utilizzo di sistemi diversi da SPID e CIE per consentire l’accesso ai servizi online da parte di imprese e professionisti. Esse, di conseguenza, possono consentire l’accesso ai servizi erogati a dipendenti di enti terzi, professionisti, rappresentanti di impresa, nello svolgimento delle proprie mansioni o attività professionali, con i sistemi di identificazione e accesso diversi da SPID e CIE."
41,La determina Agid per l’adozione e applicazione delle Linee Guida “OpenID Connect in SPID” comporterà un obbligo di adeguamento dei Service Provider in produzione?,"Attualmente non sono previsti obblighi per i fornitori di servizi e gli Aggregatori in merito all’adozione e applicazione delle Linee Guida “OpenID Connect in SPID”. La Determina 616/2021 di AGID prevede espressamente per i fornitori di servizi, quindi anche per gli Aggregatori, “la facoltà di presentare domanda di adesione a SPID sulla base delle predette linee guida” a decorrere dal 2 maggio 2022."
42,Come posso abilitare l’accesso ai servizi tramite SPID?,"Se rappresenti una Pubblica Amministrazione (come indicato nell’Avviso SPID n. 28) che vuole abilitare l’accesso ai propri servizi tramite SPID, segui la procedura descritta alla pagina Come diventare fornitori di servizi. Fai attenzione a quanto descritto nelle due fasi: quella tecnica e quella amministrativa. All’esito positivo della procedura di collaudo dovrai sottoscrivere la convenzione con AgID. Inoltre, è possibile abilitare l’accesso ai servizi con SPID attraverso un Soggetto aggregatore."
43,Non posso aderire direttamente a SPID. Come posso fare?,"Se rappresenti una Pubblica Amministrazione che non può aderire direttamente a SPID, puoi rivolgerti ai soggetti aggregatori per abilitare l’accesso ai propri servizi online tramite l’identità digitale SPID. I soggetti aggregatori di servizi pubblici sono pubbliche amministrazioni o privati che offrono a soggetti pubblici, loro aggregati, la possibilità di rendere accessibili tramite lo SPID i loro servizi."
44,Cos’è un soggetto aggregato?,"I soggetti aggregati sono enti pubblici, per esempio le pubbliche amministrazioni locali, come i piccoli comuni, che si rivolgono ai soggetti aggregatori per abilitare i fornitori di servizi SPID, poiché non ritengono conveniente abilitare l’accesso ai propri servizi digitali con SPID autonomamente."
45,Dove trovo l’elenco aggiornato dei soggetti aggregatori?,L’elenco è disponibile sul sito istituzionale di AgID alla pagina Soggetti aggregatori.
46,Un ente può essere aggregato da diversi soggetti aggregatori?,"Sì, un ente può rivolgersi a più soggetti aggregatori per servizi diversi. Ad esempio, un comune può affidare il servizio di iscrizione alla scuola materna a un certo aggregatore e il servizio di rilascio dei certificati anagrafici a un altro aggregatore."
47,Un ente può diventare aggregato se ha già aderito a SPID direttamente?,"Sì, nei seguenti casi: se decide di erogare dei nuovi servizi per i quali vuole  affidarsi ad un aggregatore; se vuole spostare uno o più servizi verso uno o più Aggregatori; se vuole spostare tutti i suoi servizi verso uno o più Aggregatori; in questo caso dovrà rinunciare alla convenzione e al proprio metadata da fornitore di servizi."
48,Cos’è un RAO e come lo si diventa?,"Il Responsabile della verifica dell’identità - Registration Authority Office RAO - è la pubblica amministrazione che può verificare di persona presso i suoi uffici l’identità personale del cittadino, per consentirgli di attivare SPID.  Su richiesta di alcune pubbliche amministrazioni locali, l'AgID ha emanato le Linee Guida per il modello di RAO pubblico consentendo alle pubbliche amministrazioni interessate di svolgere questa importante attività sul territorio, tipicamente presso gli sportelli pubblici. Per aderire al modello di RAO pubblico è necessario seguire la procedura indicata nella pagina dedicata sul sito di AgID."
49,E’ obbligatorio utilizzare SPID come strumento di identificazione per accedere ai servizi online della Pubblica Amministrazione in contesti o situazioni operative nei quali il bacino di utenza è definito e circoscritto (interno)?,"Tenuto conto anche del Regolamento eIDAS, le pubbliche amministrazioni possono consentire l’accesso ai servizi erogati in un sistema chiuso e diretti ad un gruppo specifico di persone, preventivamente identificate, con le credenziali appositamente rilasciate, nel caso in cui il servizio sia erogato esclusivamente ad un numero definito di partecipanti, e ove l’erogazione (o mancata erogazione) produce effetti immediati solo sulla singola persona che fa parte del gruppo definito."
50,Le pubbliche amministrazioni che hanno implementato SPID o CIE per l’identificazione e l’accesso ai servizi sono obbligate ad implementare anche la CNS?,"No, le pubbliche amministrazioni che hanno implementato SPID o CIE per l’identificazione e l’accesso ai servizi non sono obbligate ad implementare anche la CNS."
51,Una società può ottenere SPID?,"Il responsabile legale di un’organizzazione (società, ente, impresa, ecc.) può richiedere e utilizzare la propria identità digitale per accedere ai servizi online. A tale scopo è anche possibile dotare i propri dipendenti di identità digitali per uso professionale della persona giuridica. ll rilascio dell’identità digitale per uso professionale per la persona giuridica avviene previa verifica dell’identità personale del richiedente e della legittimità della richiesta da parte di uno dei gestori di identità digitale accreditati dall’Agenzia per l’Italia Digitale, nel rispetto delle modalità e dei controlli previsti da AgID."
52,SPID è gratuito?,L’utilizzo di SPID per le aziende è a pagamento: è possibile consultare i costi in questa tabella.
